Data,Set Size,Individual MSE,number of random models,Method,MSE
Folk_Income_Data,9,"[0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25]",9,randomized,0.25
Folk_Income_Data,9,"[0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25]",9,random_selection,0.25
Folk_Income_Data,9,"[0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25]",9,sequential reconcile,0.25
Folk_Travel_Data,5,"[0.2098, 0.2116, 0.2078, 0.2084, 0.2125]",0,mode,0.21
Folk_Travel_Data,5,"[0.2098, 0.2116, 0.2078, 0.2084, 0.2125]",0,randomized,0.211
Folk_Travel_Data,5,"[0.2098, 0.2116, 0.2078, 0.2084, 0.2125]",0,random_selection,0.208
Folk_Travel_Data,5,"[0.2098, 0.2116, 0.2078, 0.2084, 0.2125]",0,sequential reconcile,0.208
Folk_Travel_Data,5,"[0.2098, 0.2116, 0.2078, 0.2084, 0.25]",1,mode,0.21
Folk_Travel_Data,5,"[0.2098, 0.2116, 0.2078, 0.2084, 0.25]",1,randomized,0.218
Folk_Travel_Data,5,"[0.2098, 0.2116, 0.2078, 0.2084, 0.25]",1,random_selection,0.25
Folk_Travel_Data,5,"[0.2098, 0.2116, 0.2078, 0.2084, 0.25]",1,sequential reconcile,0.209
Folk_Travel_Data,5,"[0.25, 0.2116, 0.2078, 0.2084, 0.25]",2,mode,0.25
Folk_Travel_Data,5,"[0.25, 0.2116, 0.2078, 0.2084, 0.25]",2,randomized,0.225
Folk_Travel_Data,5,"[0.25, 0.2116, 0.2078, 0.2084, 0.25]",2,random_selection,0.25
Folk_Travel_Data,5,"[0.25, 0.2116, 0.2078, 0.2084, 0.25]",2,sequential reconcile,0.224
Folk_Travel_Data,5,"[0.25, 0.25, 0.2078, 0.2084, 0.25]",3,mode,0.25
Folk_Travel_Data,5,"[0.25, 0.25, 0.2078, 0.2084, 0.25]",3,randomized,0.233
Folk_Travel_Data,5,"[0.25, 0.25, 0.2078, 0.2084, 0.25]",3,random_selection,0.25
Folk_Travel_Data,5,"[0.25, 0.25, 0.2078, 0.2084, 0.25]",3,sequential reconcile,0.222
Folk_Travel_Data,5,"[0.25, 0.25, 0.2078, 0.25, 0.25]",4,mode,0.25
Folk_Travel_Data,5,"[0.25, 0.25, 0.2078, 0.25, 0.25]",4,randomized,0.242
Folk_Travel_Data,5,"[0.25, 0.25, 0.2078, 0.25, 0.25]",4,random_selection,0.25
Folk_Travel_Data,5,"[0.25, 0.25, 0.2078, 0.25, 0.25]",4,sequential reconcile,0.222
Folk_Travel_Data,5,"[0.25, 0.25, 0.25, 0.25, 0.25]",5,mode,0.25
Folk_Travel_Data,5,"[0.25, 0.25, 0.25, 0.25, 0.25]",5,randomized,0.25
Folk_Travel_Data,5,"[0.25, 0.25, 0.25, 0.25, 0.25]",5,random_selection,0.25
Folk_Travel_Data,5,"[0.25, 0.25, 0.25, 0.25, 0.25]",5,sequential reconcile,0.25
Folk_Mobility_Data,9,"[0.1747, 0.1728, 0.173, 0.1731, 0.2124, 0.2314, 0.189, 0.1885, 0.2464]",0,mode,0.19
Folk_Mobility_Data,9,"[0.1747, 0.1728, 0.173, 0.1731, 0.2124, 0.2314, 0.189, 0.1885, 0.2464]",0,randomized,0.199
Folk_Mobility_Data,9,"[0.1747, 0.1728, 0.173, 0.1731, 0.2124, 0.2314, 0.189, 0.1885, 0.2464]",0,random_selection,0.246
Folk_Mobility_Data,9,"[0.1747, 0.1728, 0.173, 0.1731, 0.2124, 0.2314, 0.189, 0.1885, 0.2464]",0,sequential reconcile,0.19
Folk_Mobility_Data,9,"[0.1747, 0.1728, 0.173, 0.1731, 0.2124, 0.2314, 0.189, 0.25, 0.2464]",1,mode,0.19
Folk_Mobility_Data,9,"[0.1747, 0.1728, 0.173, 0.1731, 0.2124, 0.2314, 0.189, 0.25, 0.2464]",1,randomized,0.203
Folk_Mobility_Data,9,"[0.1747, 0.1728, 0.173, 0.1731, 0.2124, 0.2314, 0.189, 0.25, 0.2464]",1,random_selection,0.25
Folk_Mobility_Data,9,"[0.1747, 0.1728, 0.173, 0.1731, 0.2124, 0.2314, 0.189, 0.25, 0.2464]",1,sequential reconcile,0.178
Folk_Mobility_Data,9,"[0.1747, 0.1728, 0.173, 0.1731, 0.25, 0.2314, 0.189, 0.25, 0.2464]",2,mode,0.247
Folk_Mobility_Data,9,"[0.1747, 0.1728, 0.173, 0.1731, 0.25, 0.2314, 0.189, 0.25, 0.2464]",2,randomized,0.205
Folk_Mobility_Data,9,"[0.1747, 0.1728, 0.173, 0.1731, 0.25, 0.2314, 0.189, 0.25, 0.2464]",2,random_selection,0.25
Folk_Mobility_Data,9,"[0.1747, 0.1728, 0.173, 0.1731, 0.25, 0.2314, 0.189, 0.25, 0.2464]",2,sequential reconcile,0.173
Folk_Mobility_Data,9,"[0.1747, 0.1728, 0.173, 0.1731, 0.25, 0.2314, 0.189, 0.25, 0.25]",3,mode,0.25
Folk_Mobility_Data,9,"[0.1747, 0.1728, 0.173, 0.1731, 0.25, 0.2314, 0.189, 0.25, 0.25]",3,randomized,0.205
Folk_Mobility_Data,9,"[0.1747, 0.1728, 0.173, 0.1731, 0.25, 0.2314, 0.189, 0.25, 0.25]",3,random_selection,0.175
Folk_Mobility_Data,9,"[0.1747, 0.1728, 0.173, 0.1731, 0.25, 0.2314, 0.189, 0.25, 0.25]",3,sequential reconcile,0.18
Folk_Mobility_Data,9,"[0.1747, 0.25, 0.173, 0.1731, 0.25, 0.2314, 0.189, 0.25, 0.25]",4,mode,0.25
Folk_Mobility_Data,9,"[0.1747, 0.25, 0.173, 0.1731, 0.25, 0.2314, 0.189, 0.25, 0.25]",4,randomized,0.216
Folk_Mobility_Data,9,"[0.1747, 0.25, 0.173, 0.1731, 0.25, 0.2314, 0.189, 0.25, 0.25]",4,random_selection,0.175
Folk_Mobility_Data,9,"[0.1747, 0.25, 0.173, 0.1731, 0.25, 0.2314, 0.189, 0.25, 0.25]",4,sequential reconcile,0.18
Folk_Mobility_Data,9,"[0.25, 0.25, 0.173, 0.1731, 0.25, 0.2314, 0.189, 0.25, 0.25]",5,mode,0.25
Folk_Mobility_Data,9,"[0.25, 0.25, 0.173, 0.1731, 0.25, 0.2314, 0.189, 0.25, 0.25]",5,randomized,0.227
Folk_Mobility_Data,9,"[0.25, 0.25, 0.173, 0.1731, 0.25, 0.2314, 0.189, 0.25, 0.25]",5,random_selection,0.25
Folk_Mobility_Data,9,"[0.25, 0.25, 0.173, 0.1731, 0.25, 0.2314, 0.189, 0.25, 0.25]",5,sequential reconcile,0.183
Folk_Mobility_Data,9,"[0.25, 0.25, 0.173, 0.1731, 0.25, 0.25, 0.189, 0.25, 0.25]",6,mode,0.25
Folk_Mobility_Data,9,"[0.25, 0.25, 0.173, 0.1731, 0.25, 0.25, 0.189, 0.25, 0.25]",6,randomized,0.227
Folk_Mobility_Data,9,"[0.25, 0.25, 0.173, 0.1731, 0.25, 0.25, 0.189, 0.25, 0.25]",6,random_selection,0.189
Folk_Mobility_Data,9,"[0.25, 0.25, 0.173, 0.1731, 0.25, 0.25, 0.189, 0.25, 0.25]",6,sequential reconcile,0.185
Folk_Mobility_Data,9,"[0.25, 0.25, 0.173, 0.25, 0.25, 0.25, 0.189, 0.25, 0.25]",7,mode,0.25
Folk_Mobility_Data,9,"[0.25, 0.25, 0.173, 0.25, 0.25, 0.25, 0.189, 0.25, 0.25]",7,randomized,0.234
Folk_Mobility_Data,9,"[0.25, 0.25, 0.173, 0.25, 0.25, 0.25, 0.189, 0.25, 0.25]",7,random_selection,0.189
Folk_Mobility_Data,9,"[0.25, 0.25, 0.173, 0.25, 0.25, 0.25, 0.189, 0.25, 0.25]",7,sequential reconcile,0.184
Folk_Mobility_Data,9,"[0.25, 0.25, 0.173, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25]",8,mode,0.25
Folk_Mobility_Data,9,"[0.25, 0.25, 0.173, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25]",8,randomized,0.242
Folk_Mobility_Data,9,"[0.25, 0.25, 0.173, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25]",8,random_selection,0.173
Folk_Mobility_Data,9,"[0.25, 0.25, 0.173, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25]",8,sequential reconcile,0.183
Folk_Mobility_Data,9,"[0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25]",9,mode,0.25
Folk_Mobility_Data,9,"[0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25]",9,randomized,0.25
Folk_Mobility_Data,9,"[0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25]",9,random_selection,0.25
Folk_Mobility_Data,9,"[0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25]",9,sequential reconcile,0.25
Communities_Data,11,"[0.023, 0.023, 0.0229, 0.023, 0.027, 0.0277, 0.0421, 0.0401, 0.0227, 0.0224, 0.0285]",0,mean,0.022
Communities_Data,11,"[0.023, 0.023, 0.0229, 0.023, 0.027, 0.0277, 0.0421, 0.0401, 0.0227, 0.0224, 0.0285]",0,randomized,0.027
Communities_Data,11,"[0.023, 0.023, 0.0229, 0.023, 0.027, 0.0277, 0.0421, 0.0401, 0.0227, 0.0224, 0.0285]",0,random_selection,0.022
Communities_Data,11,"[0.023, 0.023, 0.0229, 0.023, 0.027, 0.0277, 0.0421, 0.0401, 0.0227, 0.0224, 0.0285]",0,sequential reconcile,0.023
Communities_Data,11,"[0.2172, 0.023, 0.0229, 0.023, 0.027, 0.0277, 0.0421, 0.0401, 0.0227, 0.0224, 0.0285]",1,mean,0.025
Communities_Data,11,"[0.2172, 0.023, 0.0229, 0.023, 0.027, 0.0277, 0.0421, 0.0401, 0.0227, 0.0224, 0.0285]",1,randomized,0.037
Communities_Data,11,"[0.2172, 0.023, 0.0229, 0.023, 0.027, 0.0277, 0.0421, 0.0401, 0.0227, 0.0224, 0.0285]",1,random_selection,0.023
Communities_Data,11,"[0.2172, 0.023, 0.0229, 0.023, 0.027, 0.0277, 0.0421, 0.0401, 0.0227, 0.0224, 0.0285]",1,sequential reconcile,0.023
Communities_Data,11,"[0.2019, 0.023, 0.0229, 0.023, 0.027, 0.0277, 0.0421, 0.2146, 0.0227, 0.0224, 0.0285]",2,mean,0.029
Communities_Data,11,"[0.2019, 0.023, 0.0229, 0.023, 0.027, 0.0277, 0.0421, 0.2146, 0.0227, 0.0224, 0.0285]",2,randomized,0.058
Communities_Data,11,"[0.2019, 0.023, 0.0229, 0.023, 0.027, 0.0277, 0.0421, 0.2146, 0.0227, 0.0224, 0.0285]",2,random_selection,0.023
Communities_Data,11,"[0.2019, 0.023, 0.0229, 0.023, 0.027, 0.0277, 0.0421, 0.2146, 0.0227, 0.0224, 0.0285]",2,sequential reconcile,0.023
Communities_Data,11,"[0.2173, 0.023, 0.0229, 0.023, 0.027, 0.2048, 0.0421, 0.208, 0.0227, 0.0224, 0.0285]",3,mean,0.033
Communities_Data,11,"[0.2173, 0.023, 0.0229, 0.023, 0.027, 0.2048, 0.0421, 0.208, 0.0227, 0.0224, 0.0285]",3,randomized,0.076
Communities_Data,11,"[0.2173, 0.023, 0.0229, 0.023, 0.027, 0.2048, 0.0421, 0.208, 0.0227, 0.0224, 0.0285]",3,random_selection,0.027
Communities_Data,11,"[0.2173, 0.023, 0.0229, 0.023, 0.027, 0.2048, 0.0421, 0.208, 0.0227, 0.0224, 0.0285]",3,sequential reconcile,0.023
Communities_Data,11,"[0.2135, 0.023, 0.0229, 0.023, 0.027, 0.1973, 0.2101, 0.2154, 0.0227, 0.0224, 0.0285]",4,mean,0.041
Communities_Data,11,"[0.2135, 0.023, 0.0229, 0.023, 0.027, 0.1973, 0.2101, 0.2154, 0.0227, 0.0224, 0.0285]",4,randomized,0.098
