Data,Set Size,Individual MSE,number of random models,Method,MSE
Folk_Mobility_Data,9,"[0.25, 0.25, 0.25, 0.1725, 0.25, 0.25, 0.1878, 0.2465, 0.25]",6,random_selection,0.172
Folk_Mobility_Data,9,"[0.25, 0.25, 0.25, 0.1725, 0.25, 0.25, 0.1878, 0.2465, 0.25]",6,sequential reconcile,0.184
Folk_Mobility_Data,9,"[0.25, 0.25, 0.25, 0.1725, 0.25, 0.25, 0.25, 0.2465, 0.25]",7,mode,0.25
Folk_Mobility_Data,9,"[0.25, 0.25, 0.25, 0.1725, 0.25, 0.25, 0.25, 0.2465, 0.25]",7,randomized,0.24
Folk_Mobility_Data,9,"[0.25, 0.25, 0.25, 0.1725, 0.25, 0.25, 0.25, 0.2465, 0.25]",7,random_selection,0.25
Folk_Mobility_Data,9,"[0.25, 0.25, 0.25, 0.1725, 0.25, 0.25, 0.25, 0.2465, 0.25]",7,sequential reconcile,0.181
Folk_Mobility_Data,9,"[0.25, 0.25, 0.25, 0.1725, 0.25, 0.25, 0.25, 0.25, 0.25]",8,mode,0.25
Folk_Mobility_Data,9,"[0.25, 0.25, 0.25, 0.1725, 0.25, 0.25, 0.25, 0.25, 0.25]",8,randomized,0.242
Folk_Mobility_Data,9,"[0.25, 0.25, 0.25, 0.1725, 0.25, 0.25, 0.25, 0.25, 0.25]",8,random_selection,0.25
Folk_Mobility_Data,9,"[0.25, 0.25, 0.25, 0.1725, 0.25, 0.25, 0.25, 0.25, 0.25]",8,sequential reconcile,0.181
Folk_Mobility_Data,9,"[0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25]",9,mode,0.25
Folk_Mobility_Data,9,"[0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25]",9,randomized,0.25
Folk_Mobility_Data,9,"[0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25]",9,random_selection,0.25
Folk_Mobility_Data,9,"[0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25]",9,sequential reconcile,0.25
Communities_Data,11,"[0.0217, 0.0213, 0.0204, 0.0205, 0.0264, 0.0276, 0.0448, 0.0416, 0.0199, 0.0196, 0.0247]",0,mean,0.02
Communities_Data,11,"[0.0217, 0.0213, 0.0204, 0.0205, 0.0264, 0.0276, 0.0448, 0.0416, 0.0199, 0.0196, 0.0247]",0,randomized,0.023
Communities_Data,11,"[0.0217, 0.0213, 0.0204, 0.0205, 0.0264, 0.0276, 0.0448, 0.0416, 0.0199, 0.0196, 0.0247]",0,random_selection,0.028
Communities_Data,11,"[0.0217, 0.0213, 0.0204, 0.0205, 0.0264, 0.0276, 0.0448, 0.0416, 0.0199, 0.0196, 0.0247]",0,sequential reconcile,0.02
Communities_Data,11,"[0.0217, 0.0213, 0.0204, 0.0205, 0.0264, 0.0276, 0.0448, 0.0416, 0.0199, 0.2009, 0.0247]",1,mean,0.022
Communities_Data,11,"[0.0217, 0.0213, 0.0204, 0.0205, 0.0264, 0.0276, 0.0448, 0.0416, 0.0199, 0.2009, 0.0247]",1,randomized,0.047
Communities_Data,11,"[0.0217, 0.0213, 0.0204, 0.0205, 0.0264, 0.0276, 0.0448, 0.0416, 0.0199, 0.2009, 0.0247]",1,random_selection,0.045
Communities_Data,11,"[0.0217, 0.0213, 0.0204, 0.0205, 0.0264, 0.0276, 0.0448, 0.0416, 0.0199, 0.2009, 0.0247]",1,sequential reconcile,0.027
Communities_Data,11,"[0.0217, 0.2005, 0.0204, 0.0205, 0.0264, 0.0276, 0.0448, 0.0416, 0.0199, 0.1978, 0.0247]",2,mean,0.027
Communities_Data,11,"[0.0217, 0.2005, 0.0204, 0.0205, 0.0264, 0.0276, 0.0448, 0.0416, 0.0199, 0.1978, 0.0247]",2,randomized,0.05
Communities_Data,11,"[0.0217, 0.2005, 0.0204, 0.0205, 0.0264, 0.0276, 0.0448, 0.0416, 0.0199, 0.1978, 0.0247]",2,random_selection,0.022
Communities_Data,11,"[0.0217, 0.2005, 0.0204, 0.0205, 0.0264, 0.0276, 0.0448, 0.0416, 0.0199, 0.1978, 0.0247]",2,sequential reconcile,0.02
Communities_Data,11,"[0.0217, 0.2049, 0.0204, 0.0205, 0.0264, 0.0276, 0.0448, 0.0416, 0.215, 0.1914, 0.0247]",3,mean,0.03
Communities_Data,11,"[0.0217, 0.2049, 0.0204, 0.0205, 0.0264, 0.0276, 0.0448, 0.0416, 0.215, 0.1914, 0.0247]",3,randomized,0.072
Communities_Data,11,"[0.0217, 0.2049, 0.0204, 0.0205, 0.0264, 0.0276, 0.0448, 0.0416, 0.215, 0.1914, 0.0247]",3,random_selection,0.189
Communities_Data,11,"[0.0217, 0.2049, 0.0204, 0.0205, 0.0264, 0.0276, 0.0448, 0.0416, 0.215, 0.1914, 0.0247]",3,sequential reconcile,0.037
Communities_Data,11,"[0.0217, 0.2089, 0.0204, 0.0205, 0.0264, 0.0276, 0.2171, 0.0416, 0.2162, 0.2064, 0.0247]",4,mean,0.039
Communities_Data,11,"[0.0217, 0.2089, 0.0204, 0.0205, 0.0264, 0.0276, 0.2171, 0.0416, 0.2162, 0.2064, 0.0247]",4,randomized,0.089
Communities_Data,11,"[0.0217, 0.2089, 0.0204, 0.0205, 0.0264, 0.0276, 0.2171, 0.0416, 0.2162, 0.2064, 0.0247]",4,random_selection,0.02
Communities_Data,11,"[0.0217, 0.2089, 0.0204, 0.0205, 0.0264, 0.0276, 0.2171, 0.0416, 0.2162, 0.2064, 0.0247]",4,sequential reconcile,0.025
Communities_Data,11,"[0.0217, 0.2125, 0.0204, 0.0205, 0.0264, 0.2051, 0.2072, 0.0416, 0.1975, 0.1969, 0.0247]",5,mean,0.047
Communities_Data,11,"[0.0217, 0.2125, 0.0204, 0.0205, 0.0264, 0.2051, 0.2072, 0.0416, 0.1975, 0.1969, 0.0247]",5,randomized,0.121
Communities_Data,11,"[0.0217, 0.2125, 0.0204, 0.0205, 0.0264, 0.2051, 0.2072, 0.0416, 0.1975, 0.1969, 0.0247]",5,random_selection,0.02
Communities_Data,11,"[0.0217, 0.2125, 0.0204, 0.0205, 0.0264, 0.2051, 0.2072, 0.0416, 0.1975, 0.1969, 0.0247]",5,sequential reconcile,0.02
Communities_Data,11,"[0.0217, 0.2071, 0.2183, 0.0205, 0.0264, 0.198, 0.2067, 0.0416, 0.1976, 0.2077, 0.0247]",6,mean,0.054
Communities_Data,11,"[0.0217, 0.2071, 0.2183, 0.0205, 0.0264, 0.198, 0.2067, 0.0416, 0.1976, 0.2077, 0.0247]",6,randomized,0.121
Communities_Data,11,"[0.0217, 0.2071, 0.2183, 0.0205, 0.0264, 0.198, 0.2067, 0.0416, 0.1976, 0.2077, 0.0247]",6,random_selection,0.025
Communities_Data,11,"[0.0217, 0.2071, 0.2183, 0.0205, 0.0264, 0.198, 0.2067, 0.0416, 0.1976, 0.2077, 0.0247]",6,sequential reconcile,0.048
Communities_Data,11,"[0.0217, 0.2123, 0.1984, 0.0205, 0.0264, 0.2028, 0.2102, 0.0416, 0.1995, 0.2178, 0.1892]",7,mean,0.067
Communities_Data,11,"[0.0217, 0.2123, 0.1984, 0.0205, 0.0264, 0.2028, 0.2102, 0.0416, 0.1995, 0.2178, 0.1892]",7,randomized,0.122
Communities_Data,11,"[0.0217, 0.2123, 0.1984, 0.0205, 0.0264, 0.2028, 0.2102, 0.0416, 0.1995, 0.2178, 0.1892]",7,random_selection,0.206
Communities_Data,11,"[0.0217, 0.2123, 0.1984, 0.0205, 0.0264, 0.2028, 0.2102, 0.0416, 0.1995, 0.2178, 0.1892]",7,sequential reconcile,0.032
Communities_Data,11,"[0.0217, 0.1818, 0.1956, 0.0205, 0.0264, 0.2122, 0.2023, 0.2026, 0.2065, 0.216, 0.2065]",8,mean,0.08
Communities_Data,11,"[0.0217, 0.1818, 0.1956, 0.0205, 0.0264, 0.2122, 0.2023, 0.2026, 0.2065, 0.216, 0.2065]",8,randomized,0.166
Communities_Data,11,"[0.0217, 0.1818, 0.1956, 0.0205, 0.0264, 0.2122, 0.2023, 0.2026, 0.2065, 0.216, 0.2065]",8,random_selection,0.196
Communities_Data,11,"[0.0217, 0.1818, 0.1956, 0.0205, 0.0264, 0.2122, 0.2023, 0.2026, 0.2065, 0.216, 0.2065]",8,sequential reconcile,0.045
Communities_Data,11,"[0.0217, 0.2124, 0.2146, 0.0205, 0.2026, 0.1895, 0.1911, 0.2057, 0.2144, 0.2156, 0.2125]",9,mean,0.095
Communities_Data,11,"[0.0217, 0.2124, 0.2146, 0.0205, 0.2026, 0.1895, 0.1911, 0.2057, 0.2144, 0.2156, 0.2125]",9,randomized,0.194
Communities_Data,11,"[0.0217, 0.2124, 0.2146, 0.0205, 0.2026, 0.1895, 0.1911, 0.2057, 0.2144, 0.2156, 0.2125]",9,random_selection,0.207
Communities_Data,11,"[0.0217, 0.2124, 0.2146, 0.0205, 0.2026, 0.1895, 0.1911, 0.2057, 0.2144, 0.2156, 0.2125]",9,sequential reconcile,0.031
Communities_Data,11,"[0.0217, 0.2046, 0.213, 0.1867, 0.2272, 0.2043, 0.2046, 0.2225, 0.2151, 0.1979, 0.2097]",10,mean,0.11
Communities_Data,11,"[0.0217, 0.2046, 0.213, 0.1867, 0.2272, 0.2043, 0.2046, 0.2225, 0.2151, 0.1979, 0.2097]",10,randomized,0.196
Communities_Data,11,"[0.0217, 0.2046, 0.213, 0.1867, 0.2272, 0.2043, 0.2046, 0.2225, 0.2151, 0.1979, 0.2097]",10,random_selection,0.209
Communities_Data,11,"[0.0217, 0.2046, 0.213, 0.1867, 0.2272, 0.2043, 0.2046, 0.2225, 0.2151, 0.1979, 0.2097]",10,sequential reconcile,0.05
Communities_Data,11,"[0.2178, 0.2255, 0.215, 0.2129, 0.193, 0.2167, 0.1868, 0.2049, 0.2135, 0.2008, 0.2209]",11,mean,0.134
Communities_Data,11,"[0.2178, 0.2255, 0.215, 0.2129, 0.193, 0.2167, 0.1868, 0.2049, 0.2135, 0.2008, 0.2209]",11,randomized,0.206
Communities_Data,11,"[0.2178, 0.2255, 0.215, 0.2129, 0.193, 0.2167, 0.1868, 0.2049, 0.2135, 0.2008, 0.2209]",11,random_selection,0.196
Communities_Data,11,"[0.2178, 0.2255, 0.215, 0.2129, 0.193, 0.2167, 0.1868, 0.2049, 0.2135, 0.2008, 0.2209]",11,sequential reconcile,0.081
Compas_Data,9,"[0.2215, 0.2121, 0.2066, 0.2067, 0.2365, 0.2298, 0.2103, 0.2475, 0.2429]",0,mode,0.233
Compas_Data,9,"[0.2215, 0.2121, 0.2066, 0.2067, 0.2365, 0.2298, 0.2103, 0.2475, 0.2429]",0,randomized,0.224
Compas_Data,9,"[0.2215, 0.2121, 0.2066, 0.2067, 0.2365, 0.2298, 0.2103, 0.2475, 0.2429]",0,random_selection,0.21
Compas_Data,9,"[0.2215, 0.2121, 0.2066, 0.2067, 0.2365, 0.2298, 0.2103, 0.2475, 0.2429]",0,sequential reconcile,0.21
Compas_Data,9,"[0.2215, 0.2121, 0.2066, 0.2067, 0.2365, 0.2298, 0.2103, 0.25, 0.2429]",1,mode,0.232
Compas_Data,9,"[0.2215, 0.2121, 0.2066, 0.2067, 0.2365, 0.2298, 0.2103, 0.25, 0.2429]",1,randomized,0.223
Compas_Data,9,"[0.2215, 0.2121, 0.2066, 0.2067, 0.2365, 0.2298, 0.2103, 0.25, 0.2429]",1,random_selection,0.207
Compas_Data,9,"[0.2215, 0.2121, 0.2066, 0.2067, 0.2365, 0.2298, 0.2103, 0.25, 0.2429]",1,sequential reconcile,0.207
Compas_Data,9,"[0.2215, 0.2121, 0.2066, 0.2067, 0.2365, 0.25, 0.2103, 0.25, 0.2429]",2,mode,0.252
Compas_Data,9,"[0.2215, 0.2121, 0.2066, 0.2067, 0.2365, 0.25, 0.2103, 0.25, 0.2429]",2,randomized,0.227
Compas_Data,9,"[0.2215, 0.2121, 0.2066, 0.2067, 0.2365, 0.25, 0.2103, 0.25, 0.2429]",2,random_selection,0.207
Compas_Data,9,"[0.2215, 0.2121, 0.2066, 0.2067, 0.2365, 0.25, 0.2103, 0.25, 0.2429]",2,sequential reconcile,0.207
Compas_Data,9,"[0.2215, 0.2121, 0.25, 0.2067, 0.2365, 0.25, 0.2103, 0.25, 0.2429]",3,mode,0.25
Compas_Data,9,"[0.2215, 0.2121, 0.25, 0.2067, 0.2365, 0.25, 0.2103, 0.25, 0.2429]",3,randomized,0.231
Compas_Data,9,"[0.2215, 0.2121, 0.25, 0.2067, 0.2365, 0.25, 0.2103, 0.25, 0.2429]",3,random_selection,0.25
Compas_Data,9,"[0.2215, 0.2121, 0.25, 0.2067, 0.2365, 0.25, 0.2103, 0.25, 0.2429]",3,sequential reconcile,0.207
Compas_Data,9,"[0.2215, 0.25, 0.25, 0.2067, 0.2365, 0.25, 0.2103, 0.25, 0.2429]",4,mode,0.25
Compas_Data,9,"[0.2215, 0.25, 0.25, 0.2067, 0.2365, 0.25, 0.2103, 0.25, 0.2429]",4,randomized,0.237
Compas_Data,9,"[0.2215, 0.25, 0.25, 0.2067, 0.2365, 0.25, 0.2103, 0.25, 0.2429]",4,random_selection,0.207
Compas_Data,9,"[0.2215, 0.25, 0.25, 0.2067, 0.2365, 0.25, 0.2103, 0.25, 0.2429]",4,sequential reconcile,0.207
Compas_Data,9,"[0.2215, 0.25, 0.25, 0.2067, 0.2365, 0.25, 0.25, 0.25, 0.2429]",5,mode,0.25
Compas_Data,9,"[0.2215, 0.25, 0.25, 0.2067, 0.2365, 0.25, 0.25, 0.25, 0.2429]",5,randomized,0.245
Compas_Data,9,"[0.2215, 0.25, 0.25, 0.2067, 0.2365, 0.25, 0.25, 0.25, 0.2429]",5,random_selection,0.25
Compas_Data,9,"[0.2215, 0.25, 0.25, 0.2067, 0.2365, 0.25, 0.25, 0.25, 0.2429]",5,sequential reconcile,0.207
Compas_Data,9,"[0.2215, 0.25, 0.25, 0.25, 0.2365, 0.25, 0.25, 0.25, 0.2429]",6,mode,0.25
Compas_Data,9,"[0.2215, 0.25, 0.25, 0.25, 0.2365, 0.25, 0.25, 0.25, 0.2429]",6,randomized,0.245
Compas_Data,9,"[0.2215, 0.25, 0.25, 0.25, 0.2365, 0.25, 0.25, 0.25, 0.2429]",6,random_selection,0.221
Compas_Data,9,"[0.2215, 0.25, 0.25, 0.25, 0.2365, 0.25, 0.25, 0.25, 0.2429]",6,sequential reconcile,0.221
Compas_Data,9,"[0.25, 0.25, 0.25, 0.25, 0.2365, 0.25, 0.25, 0.25, 0.2429]",7,mode,0.25
Compas_Data,9,"[0.25, 0.25, 0.25, 0.25, 0.2365, 0.25, 0.25, 0.25, 0.2429]",7,randomized,0.254
Compas_Data,9,"[0.25, 0.25, 0.25, 0.25, 0.2365, 0.25, 0.25, 0.25, 0.2429]",7,random_selection,0.25
Compas_Data,9,"[0.25, 0.25, 0.25, 0.25, 0.2365, 0.25, 0.25, 0.25, 0.2429]",7,sequential reconcile,0.245
Compas_Data,9,"[0.25, 0.25, 0.25, 0.25, 0.2365, 0.25, 0.25, 0.25, 0.25]",8,mode,0.25
Compas_Data,9,"[0.25, 0.25, 0.25, 0.25, 0.2365, 0.25, 0.25, 0.25, 0.25]",8,randomized,0.247
Compas_Data,9,"[0.25, 0.25, 0.25, 0.25, 0.2365, 0.25, 0.25, 0.25, 0.25]",8,random_selection,0.25
Compas_Data,9,"[0.25, 0.25, 0.25, 0.25, 0.2365, 0.25, 0.25, 0.25, 0.25]",8,sequential reconcile,0.25
Compas_Data,9,"[0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25]",9,mode,0.25
Compas_Data,9,"[0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25]",9,randomized,0.25
Compas_Data,9,"[0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25]",9,random_selection,0.25
Compas_Data,9,"[0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25]",9,sequential reconcile,0.25
Adult_Data,9,"[0.1348, 0.122, 0.1146, 0.1145, 0.1409, 0.1568, 0.1288, 0.115, 0.2288]",0,mode,0.14
Adult_Data,9,"[0.1348, 0.122, 0.1146, 0.1145, 0.1409, 0.1568, 0.1288, 0.115, 0.2288]",0,randomized,0.143
Adult_Data,9,"[0.1348, 0.122, 0.1146, 0.1145, 0.1409, 0.1568, 0.1288, 0.115, 0.2288]",0,random_selection,0.135
Adult_Data,9,"[0.1348, 0.122, 0.1146, 0.1145, 0.1409, 0.1568, 0.1288, 0.115, 0.2288]",0,sequential reconcile,0.119
Adult_Data,9,"[0.1348, 0.122, 0.1146, 0.1145, 0.1409, 0.1568, 0.25, 0.115, 0.2288]",1,mode,0.139
Adult_Data,9,"[0.1348, 0.122, 0.1146, 0.1145, 0.1409, 0.1568, 0.25, 0.115, 0.2288]",1,randomized,0.154
Adult_Data,9,"[0.1348, 0.122, 0.1146, 0.1145, 0.1409, 0.1568, 0.25, 0.115, 0.2288]",1,random_selection,0.25
Adult_Data,9,"[0.1348, 0.122, 0.1146, 0.1145, 0.1409, 0.1568, 0.25, 0.115, 0.2288]",1,sequential reconcile,0.125
Adult_Data,9,"[0.1348, 0.122, 0.1146, 0.1145, 0.1409, 0.25, 0.25, 0.115, 0.2288]",2,mode,0.197
Adult_Data,9,"[0.1348, 0.122, 0.1146, 0.1145, 0.1409, 0.25, 0.25, 0.115, 0.2288]",2,randomized,0.165
Adult_Data,9,"[0.1348, 0.122, 0.1146, 0.1145, 0.1409, 0.25, 0.25, 0.115, 0.2288]",2,random_selection,0.115
Adult_Data,9,"[0.1348, 0.122, 0.1146, 0.1145, 0.1409, 0.25, 0.25, 0.115, 0.2288]",2,sequential reconcile,0.121
Adult_Data,9,"[0.1348, 0.122, 0.1146, 0.1145, 0.1409, 0.25, 0.25, 0.115, 0.25]",3,mode,0.25
Adult_Data,9,"[0.1348, 0.122, 0.1146, 0.1145, 0.1409, 0.25, 0.25, 0.115, 0.25]",3,randomized,0.165
Adult_Data,9,"[0.1348, 0.122, 0.1146, 0.1145, 0.1409, 0.25, 0.25, 0.115, 0.25]",3,random_selection,0.115
Adult_Data,9,"[0.1348, 0.122, 0.1146, 0.1145, 0.1409, 0.25, 0.25, 0.115, 0.25]",3,sequential reconcile,0.115
Adult_Data,9,"[0.1348, 0.25, 0.1146, 0.1145, 0.1409, 0.25, 0.25, 0.115, 0.25]",4,mode,0.25
Adult_Data,9,"[0.1348, 0.25, 0.1146, 0.1145, 0.1409, 0.25, 0.25, 0.115, 0.25]",4,randomized,0.18
Adult_Data,9,"[0.1348, 0.25, 0.1146, 0.1145, 0.1409, 0.25, 0.25, 0.115, 0.25]",4,random_selection,0.25
Adult_Data,9,"[0.1348, 0.25, 0.1146, 0.1145, 0.1409, 0.25, 0.25, 0.115, 0.25]",4,sequential reconcile,0.115
Adult_Data,9,"[0.1348, 0.25, 0.25, 0.1145, 0.1409, 0.25, 0.25, 0.115, 0.25]",5,mode,0.25
Adult_Data,9,"[0.1348, 0.25, 0.25, 0.1145, 0.1409, 0.25, 0.25, 0.115, 0.25]",5,randomized,0.194
Adult_Data,9,"[0.1348, 0.25, 0.25, 0.1145, 0.1409, 0.25, 0.25, 0.115, 0.25]",5,random_selection,0.25
Adult_Data,9,"[0.1348, 0.25, 0.25, 0.1145, 0.1409, 0.25, 0.25, 0.115, 0.25]",5,sequential reconcile,0.115
Adult_Data,9,"[0.1348, 0.25, 0.25, 0.1145, 0.1409, 0.25, 0.25, 0.25, 0.25]",6,mode,0.25
Adult_Data,9,"[0.1348, 0.25, 0.25, 0.1145, 0.1409, 0.25, 0.25, 0.25, 0.25]",6,randomized,0.209
Adult_Data,9,"[0.1348, 0.25, 0.25, 0.1145, 0.1409, 0.25, 0.25, 0.25, 0.25]",6,random_selection,0.25
Adult_Data,9,"[0.1348, 0.25, 0.25, 0.1145, 0.1409, 0.25, 0.25, 0.25, 0.25]",6,sequential reconcile,0.115
Adult_Data,9,"[0.1348, 0.25, 0.25, 0.25, 0.1409, 0.25, 0.25, 0.25, 0.25]",7,mode,0.25
Adult_Data,9,"[0.1348, 0.25, 0.25, 0.25, 0.1409, 0.25, 0.25, 0.25, 0.25]",7,randomized,0.225
Adult_Data,9,"[0.1348, 0.25, 0.25, 0.25, 0.1409, 0.25, 0.25, 0.25, 0.25]",7,random_selection,0.25
Adult_Data,9,"[0.1348, 0.25, 0.25, 0.25, 0.1409, 0.25, 0.25, 0.25, 0.25]",7,sequential reconcile,0.139
Adult_Data,9,"[0.25, 0.25, 0.25, 0.25, 0.1409, 0.25, 0.25, 0.25, 0.25]",8,mode,0.25
Adult_Data,9,"[0.25, 0.25, 0.25, 0.25, 0.1409, 0.25, 0.25, 0.25, 0.25]",8,randomized,0.238
Adult_Data,9,"[0.25, 0.25, 0.25, 0.25, 0.1409, 0.25, 0.25, 0.25, 0.25]",8,random_selection,0.25
Adult_Data,9,"[0.25, 0.25, 0.25, 0.25, 0.1409, 0.25, 0.25, 0.25, 0.25]",8,sequential reconcile,0.142
Adult_Data,9,"[0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25]",9,mode,0.25
Adult_Data,9,"[0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25]",9,randomized,0.25
Adult_Data,9,"[0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25]",9,random_selection,0.25
Adult_Data,9,"[0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25]",9,sequential reconcile,0.25
German_Data,8,"[0.1479, 0.1454, 0.1442, 0.1452, 0.1772, 0.1354, 0.2426, 0.1628]",0,mode,0.148
German_Data,8,"[0.1479, 0.1454, 0.1442, 0.1452, 0.1772, 0.1354, 0.2426, 0.1628]",0,randomized,0.181
German_Data,8,"[0.1479, 0.1454, 0.1442, 0.1452, 0.1772, 0.1354, 0.2426, 0.1628]",0,random_selection,0.148
German_Data,8,"[0.1479, 0.1454, 0.1442, 0.1452, 0.1772, 0.1354, 0.2426, 0.1628]",0,sequential reconcile,0.142
German_Data,8,"[0.1479, 0.1454, 0.1442, 0.1452, 0.1772, 0.1354, 0.2426, 0.25]",1,mode,0.148
German_Data,8,"[0.1479, 0.1454, 0.1442, 0.1452, 0.1772, 0.1354, 0.2426, 0.25]",1,randomized,0.157
German_Data,8,"[0.1479, 0.1454, 0.1442, 0.1452, 0.1772, 0.1354, 0.2426, 0.25]",1,random_selection,0.135
German_Data,8,"[0.1479, 0.1454, 0.1442, 0.1452, 0.1772, 0.1354, 0.2426, 0.25]",1,sequential reconcile,0.148
German_Data,8,"[0.1479, 0.1454, 0.1442, 0.25, 0.1772, 0.1354, 0.2426, 0.25]",2,mode,0.249
German_Data,8,"[0.1479, 0.1454, 0.1442, 0.25, 0.1772, 0.1354, 0.2426, 0.25]",2,randomized,0.177
German_Data,8,"[0.1479, 0.1454, 0.1442, 0.25, 0.1772, 0.1354, 0.2426, 0.25]",2,random_selection,0.144
German_Data,8,"[0.1479, 0.1454, 0.1442, 0.25, 0.1772, 0.1354, 0.2426, 0.25]",2,sequential reconcile,0.135
German_Data,8,"[0.25, 0.1454, 0.1442, 0.25, 0.1772, 0.1354, 0.2426, 0.25]",3,mode,0.25
German_Data,8,"[0.25, 0.1454, 0.1442, 0.25, 0.1772, 0.1354, 0.2426, 0.25]",3,randomized,0.187
German_Data,8,"[0.25, 0.1454, 0.1442, 0.25, 0.1772, 0.1354, 0.2426, 0.25]",3,random_selection,0.25
German_Data,8,"[0.25, 0.1454, 0.1442, 0.25, 0.1772, 0.1354, 0.2426, 0.25]",3,sequential reconcile,0.152
German_Data,8,"[0.25, 0.1454, 0.1442, 0.25, 0.25, 0.1354, 0.2426, 0.25]",4,mode,0.25
German_Data,8,"[0.25, 0.1454, 0.1442, 0.25, 0.25, 0.1354, 0.2426, 0.25]",4,randomized,0.21
German_Data,8,"[0.25, 0.1454, 0.1442, 0.25, 0.25, 0.1354, 0.2426, 0.25]",4,random_selection,0.25
German_Data,8,"[0.25, 0.1454, 0.1442, 0.25, 0.25, 0.1354, 0.2426, 0.25]",4,sequential reconcile,0.143
German_Data,8,"[0.25, 0.1454, 0.25, 0.25, 0.25, 0.1354, 0.2426, 0.25]",5,mode,0.25
German_Data,8,"[0.25, 0.1454, 0.25, 0.25, 0.25, 0.1354, 0.2426, 0.25]",5,randomized,0.211
German_Data,8,"[0.25, 0.1454, 0.25, 0.25, 0.25, 0.1354, 0.2426, 0.25]",5,random_selection,0.25
German_Data,8,"[0.25, 0.1454, 0.25, 0.25, 0.25, 0.1354, 0.2426, 0.25]",5,sequential reconcile,0.145
German_Data,8,"[0.25, 0.25, 0.25, 0.25, 0.25, 0.1354, 0.2426, 0.25]",6,mode,0.25
German_Data,8,"[0.25, 0.25, 0.25, 0.25, 0.25, 0.1354, 0.2426, 0.25]",6,randomized,0.232
German_Data,8,"[0.25, 0.25, 0.25, 0.25, 0.25, 0.1354, 0.2426, 0.25]",6,random_selection,0.25
German_Data,8,"[0.25, 0.25, 0.25, 0.25, 0.25, 0.1354, 0.2426, 0.25]",6,sequential reconcile,0.144
German_Data,8,"[0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.2426, 0.25]",7,mode,0.25
German_Data,8,"[0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.2426, 0.25]",7,randomized,0.249
German_Data,8,"[0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.2426, 0.25]",7,random_selection,0.25
German_Data,8,"[0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.2426, 0.25]",7,sequential reconcile,0.25
German_Data,8,"[0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25]",8,mode,0.25
German_Data,8,"[0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25]",8,randomized,0.25
German_Data,8,"[0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25]",8,random_selection,0.25
German_Data,8,"[0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25]",8,sequential reconcile,0.25
Folk_Income_Data,9,"[0.1369, 0.143, 0.1337, 0.1342, 0.1639, 0.18, 0.1463, 0.1459, 0.2423]",0,mode,0.146
Folk_Income_Data,9,"[0.1369, 0.143, 0.1337, 0.1342, 0.1639, 0.18, 0.1463, 0.1459, 0.2423]",0,randomized,0.16
Folk_Income_Data,9,"[0.1369, 0.143, 0.1337, 0.1342, 0.1639, 0.18, 0.1463, 0.1459, 0.2423]",0,random_selection,0.146
Folk_Income_Data,9,"[0.1369, 0.143, 0.1337, 0.1342, 0.1639, 0.18, 0.1463, 0.1459, 0.2423]",0,sequential reconcile,0.135
Folk_Income_Data,9,"[0.1369, 0.143, 0.1337, 0.1342, 0.1639, 0.18, 0.25, 0.1459, 0.2423]",1,mode,0.146
Folk_Income_Data,9,"[0.1369, 0.143, 0.1337, 0.1342, 0.1639, 0.18, 0.25, 0.1459, 0.2423]",1,randomized,0.17
Folk_Income_Data,9,"[0.1369, 0.143, 0.1337, 0.1342, 0.1639, 0.18, 0.25, 0.1459, 0.2423]",1,random_selection,0.242
Folk_Income_Data,9,"[0.1369, 0.143, 0.1337, 0.1342, 0.1639, 0.18, 0.25, 0.1459, 0.2423]",1,sequential reconcile,0.14
Folk_Income_Data,9,"[0.1369, 0.143, 0.1337, 0.1342, 0.1639, 0.18, 0.25, 0.1459, 0.25]",2,mode,0.183
Folk_Income_Data,9,"[0.1369, 0.143, 0.1337, 0.1342, 0.1639, 0.18, 0.25, 0.1459, 0.25]",2,randomized,0.172
