Data,MSE for different groups,Method
Adult_Data,"[[0.05553197844811754, 0.1369269023052556, 0.08959795524691358, 0.06858791631480733, 0.12905584933190375], [0.0423697813423308, 0.12612600250279662, 0.08768386131923381, 0.07316091775864252, 0.12951972313778654], [0.04024523667212136, 0.11580269458109341, 0.08400881638533153, 0.06532880352176551, 0.11678466440933717], [0.03958186217702162, 0.11570269625449331, 0.08458237748122285, 0.06552339349490617, 0.11590876580421236], [0.08560000000000001, 0.14365305020694621, 0.0888888888888889, 0.08605095541401275, 0.17267857142857146], [0.11777777777777775, 0.15993841601183692, 0.10905349794238683, 0.0897027600849257, 0.2003968253968254], [0.2, 0.21615242411485366, 0.1863425925925926, 0.13393489030431707, 0.21986607142857142], [0.05035134097344616, 0.12941090624897175, 0.09646710801374604, 0.08025294651975412, 0.13036921193786902], [0.038520030711094624, 0.11832925480501896, 0.08263964523324542, 0.06552851084369203, 0.12255753422911572], [0.22924091576202105, 0.23525231853744116, 0.23270074096643031, 0.2306422206977692, 0.23566883823598359]]",original
Adult_Data,"[0.08713733955922866, 0.15086130236966036, 0.09256390174897117, 0.08039226496464412, 0.15795125464804802]",mode
Adult_Data,"[0.12643913499035364, 0.15114562843550614, 0.10242400724528357, 0.09419342255950627, 0.15223092021331106]",randomized
Adult_Data,"[0.08560000000000001, 0.14365305020694621, 0.0888888888888889, 0.08605095541401275, 0.17267857142857146]",random_selection
Adult_Data,"[0.04623420067033976, 0.12532963186069912, 0.08935287065614997, 0.06695817169440453, 0.12808702847022574]",reconcile
Folk_Income_Data,"[[0.14488101846318202, 0.12239830917874397, 0.09667309160305344, 0.12807058823529413, 0.10786466050578339, 0.12730673234811168, 0.029483333333333344, 0.144553125, 0.0841], [0.15026343725684893, 0.12431932215152942, 0.10276551997314627, 0.12863711751861062, 0.11107175013355435, 0.14547283274459966, 0.03178106255078634, 0.13117705454827522, 0.0917472782527971], [0.1403512442452642, 0.1177741267127471, 0.09934178228246827, 0.1141911866183678, 0.10532998763209639, 0.13477827064527284, 0.017377377222622187, 0.11758571091695326, 0.11551285025666519], [0.14007480892955754, 0.11702811265582616, 0.09937352061101094, 0.11226783314017587, 0.10498117823384097, 0.13446127583621714, 0.01904590158030249, 0.12072108919735207, 0.11076242749901695], [0.1710133651251804, 0.14946859903381643, 0.1255725190839695, 0.17176470588235296, 0.13959803483698083, 0.16860426929392447, 0.010000000000000002, 0.16250000000000003, 0.04000000000000001], [0.18780894215417654, 0.16559312936124532, 0.13252756573367264, 0.16993464052287585, 0.1524986353034589, 0.18555008210180624, 0.027777777777777776, 0.20833333333333334, 0.0], [0.1550785841982474, 0.141637727918948, 0.11810346766774088, 0.08235396769149975, 0.13224221962398225, 0.15492795711007434, 0.03022626230708604, 0.127286716132298, 0.10422916343071444], [0.15202275918166155, 0.11850806320021182, 0.10792720956311473, 0.1449873270071119, 0.11568306031218013, 0.15277469106046146, 0.011120268278897115, 0.12189214210541352, 2.2655928969372806e-09], [0.24267441723980201, 0.23816143432567485, 0.23901889732915144, 0.23742463294695984, 0.23910579425495504, 0.24266274194485635, 0.23650660813374869, 0.2395904915010462, 0.24629402585805063]]",original
Folk_Income_Data,"[0.15327432351373754, 0.13525268384326355, 0.10237538167938931, 0.15286470588235293, 0.1206460106932456, 0.13524426199598613, 0.01181666666666667, 0.12445, 0.0841]",mode
Folk_Income_Data,"[0.16441943612074547, 0.14511903188511557, 0.11905876551555448, 0.17441051144235376, 0.13119668337006135, 0.14610125346161112, 0.033126129215966214, 0.12864415132331553, 0.0]",randomized
Folk_Income_Data,"[0.24267441723980201, 0.23816143432567485, 0.23901889732915144, 0.23742463294695984, 0.23910579425495504, 0.24266274194485635, 0.23650660813374869, 0.2395904915010462, 0.24629402585805063]",random_selection
Folk_Income_Data,"[0.14488101846318202, 0.12239830917874397, 0.09667309160305344, 0.12807058823529413, 0.10786466050578339, 0.12730673234811168, 0.029483333333333344, 0.144553125, 0.0841]",reconcile
German_Data,"[[0.2072810344827586, 0.13936964285714287, 0.15383888888888891, 0.19800833333333334], [0.20920410323147337, 0.1382529576491561, 0.14975982890982012, 0.21003507053207107], [0.2204279590541537, 0.1281895382442309, 0.17271079798873845, 0.19177020895187735], [0.22255541190203504, 0.1261244417165947, 0.161076896337569, 0.18053667446948254], [0.25655172413793104, 0.16321428571428573, 0.1955555555555556, 0.20000000000000004], [0.26436781609195403, 0.19345238095238096, 0.16049382716049385, 0.212962962962963], [0.2224678759141268, 0.13595866822524597, 0.12675616514998525, 0.19443444322576353], [0.24375149667269788, 0.24077863990886955, 0.23967316156266227, 0.24908843284136648]]",original
German_Data,"[0.23438620689655174, 0.14607410714285712, 0.16720000000000002, 0.18750000000000003]",mode
German_Data,"[0.251888241052285, 0.1758521562761267, 0.15842413690795182, 0.22896663749144328]",randomized
German_Data,"[0.2224678759141268, 0.13595866822524597, 0.12675616514998525, 0.19443444322576353]",random_selection
German_Data,"[0.24295444870157515, 0.15989858906525575, 0.15432098765432098, 0.22362139917695475]",reconcile
