Data,MSE for different groups,Method
Folk_Income_Data,"[0.15338200060054702, 0.13662705399061034, 0.11577415929203538, 0.05652380952380952, 0.12093895841702479, 0.133783203125, 0.06352777777777777, 0.18510000000000001]",mode
Folk_Income_Data,"[0.1637981530545136, 0.13962005516850343, 0.1282799258492129, 0.10949560467685858, 0.1320531906086472, 0.13985138576068457, 0.12813291613477773, 0.1598717222764679]",randomized
Folk_Income_Data,"[0.1865721218732736, 0.1862284820031299, 0.1459193706981318, 0.1693121693121693, 0.1540012788352762, 0.1541280864197531, 0.07407407407407408, 0.18637992831541222]",random_selection
Folk_Income_Data,"[0.14318552795389508, 0.13024177725612937, 0.10540717920353984, 0.05747619047619047, 0.11141850062059648, 0.12827994791666666, 0.07022222222222221, 0.16219032258064517]",reconcile
German_Data,"[[0.18518823529411763, 0.12606095238095238, 0.18165294117647057, 0.2561], [0.18808614495790899, 0.12292884183930329, 0.17936992600753165, 0.24278903371399835], [0.20207214262643858, 0.12872381718876838, 0.18128998478435876, 0.30308931616752466], [0.2093777924076568, 0.12576008007214043, 0.18198572027095888, 0.30233389898978685], [0.2376470588235294, 0.1561904761904762, 0.21176470588235297, 0.35600000000000004], [0.24673202614379086, 0.16825396825396827, 0.22875816993464054, 0.3555555555555556], [0.18113021004491545, 0.11850442533081786, 0.18719159630810256, 0.24821851644134169], [0.2445009089288052, 0.23955731606961836, 0.24420541187729625, 0.2485450939878337]]",original
German_Data,"[0.20347058823529413, 0.13579047619047618, 0.17251176470588234, 0.31595999999999996]",mode
German_Data,"[0.21014126996591603, 0.1488380211383093, 0.18627413358025913, 0.3560150692490015]",randomized
German_Data,"[0.2376470588235294, 0.1561904761904762, 0.21176470588235297, 0.35600000000000004]",random_selection
German_Data,"[0.20667824350107422, 0.12573878715292364, 0.16068012307477963, 0.32266058928093566]",reconcile
Folk_Travel_Data,"[[0.20615663297332426, 0.2201055702917772, 0.21336996124031007, 0.218119112982894, 0.21428750000000002, 0.22916341463414633, 0.184, 0.28833000000000003], [0.2076803313977826, 0.21430146981597697, 0.21417005066388267, 0.2209787362258574, 0.22155324721208816, 0.22274377549017085, 0.1933758598927424, 0.27324479365981025], [0.20437405500098585, 0.20715568068176937, 0.21131049343513386, 0.21638313614521723, 0.2223934883638054, 0.22102381990306744, 0.21593791546156205, 0.28451811102106], [0.20405122322080402, 0.20646141608452254, 0.21124689312770165, 0.2165393949106187, 0.2218028267711923, 0.21955449045400877, 0.21932154586504712, 0.28115751908783954], [0.20745390908874764, 0.23095800945591632, 0.2088790777907319, 0.22692809662417435, 0.23203928168828516, 0.2635473920916118, 0.2724752661182799, 0.3135290373009797]]",original
Folk_Travel_Data,"[0.20615663297332426, 0.2201055702917772, 0.21336996124031007, 0.218119112982894, 0.21428750000000002, 0.22916341463414633, 0.184, 0.28833000000000003]",mode
Folk_Travel_Data,"[0.2060490275654502, 0.21211052609984093, 0.21581928691259183, 0.21950665572066824, 0.21797939485371787, 0.21859283665447007, 0.2008387792850926, 0.26133961155620555]",randomized
Folk_Travel_Data,"[0.20615663297332426, 0.2201055702917772, 0.21336996124031007, 0.218119112982894, 0.21428750000000002, 0.22916341463414633, 0.184, 0.28833000000000003]",random_selection
Folk_Travel_Data,"[0.20405122322080402, 0.20646141608452254, 0.21124689312770165, 0.2165393949106187, 0.2218028267711923, 0.21955449045400877, 0.21932154586504712, 0.28115751908783954]",reconcile
Folk_Mobility_Data,"[[0.1728166238689455, 0.1661851278960023, 0.19602139923598788, 0.17046719456220494, 0.17557996424188296, 0.12693868703703706, 0.134425, 0.265775], [0.169201788632593, 0.17254830515640956, 0.19924324086640433, 0.16246559685253523, 0.16386713193959354, 0.12884757186553025, 0.13611255546228362, 0.2538597428993682], [0.1684387658358502, 0.1765781247868803, 0.19970943171477437, 0.17082518988287762, 0.1725567915579687, 0.1245118915417831, 0.15536148134354705, 0.22039415257464295], [0.16845496293634596, 0.17661150820869054, 0.1990014460724997, 0.1708031532916722, 0.17229916054752373, 0.12224780092029194, 0.16377344181009887, 0.2114945822751884], [0.20210236220472447, 0.2043800904977376, 0.2265486725663717, 0.19787439613526575, 0.211496062992126, 0.1466666666666667, 0.35500000000000004, 0.52], [0.19364654029821152, 0.18805494388970007, 0.24767593408013053, 0.22949348944442682, 0.18617415764622797, 0.18405449189503112, 0.3732026932083625, 0.3585561829547639], [0.18324502231616366, 0.18902491478924227, 0.22048108887362, 0.17995926952072672, 0.17190160007860325, 0.12109480894616105, 0.16213569539172687, 0.28623226085153486], [0.24635506592926482, 0.2463907799410274, 0.24753833386850596, 0.24713489863375146, 0.24698857180886222, 0.24393656962257418, 0.2456744919354702, 0.2472370363354067], [0.2117200010937213, 0.21404955182396593, 0.24430425002906747, 0.2625744965462364, 0.22793612381234052, 0.09202675551803018, 0.2374285012687733, 0.39526614223080225]]",original
Folk_Mobility_Data,"[0.1737640182886145, 0.16928666635754078, 0.1954078878475924, 0.16562951340278462, 0.17767523983243413, 0.12693868703703706, 0.134425, 0.35975]",mode
Folk_Mobility_Data,"[0.1884651467377957, 0.19081651777991718, 0.2125342706330359, 0.1840189067004787, 0.20467232748744513, 0.18007892800561442, 0.1409533914489893, 0.18386983359339298]",randomized
Folk_Mobility_Data,"[0.20210236220472447, 0.2043800904977376, 0.2265486725663717, 0.19787439613526575, 0.211496062992126, 0.1466666666666667, 0.35500000000000004, 0.52]",random_selection
Folk_Mobility_Data,"[0.182873222861679, 0.17929399736305487, 0.20218515826210184, 0.19642185071831414, 0.19152494316740384, 0.12940635933592465, 0.1913717664827171, 0.2508034075892621]",reconcile
Compas_Data,"[[0.23773259661854812, 0.23202402190105545, 0.022500000000000006, 0.23565170042766354, 0.2114044927657999, 0.23419180517052643], [0.21819157702213335, 0.2236641798012192, 0.04155405306803115, 0.2222889674704228, 0.18554120800680265, 0.22364234006079314], [0.20470884921346677, 0.20700717157165824, 0.17221063163077066, 0.2155018587879072, 0.19856841587963345, 0.21643537978665026], [0.20520160210615576, 0.20356712816028827, 0.13375652624879467, 0.2170246252597019, 0.18709247906275767, 0.21679365031269582], [0.25951002227171494, 0.22618181818181815, 0.36, 0.2716831683168317, 0.11428571428571431, 0.252604501607717], [0.29423410047018067, 0.2585858585858586, 0.44444444444444453, 0.2926292629262926, 0.17460317460317462, 0.27366916755984283], [0.2619468831646291, 0.2941179646621046, 0.0, 0.2573539316929013, 0.44029017857142855, 0.24422656249992675], [0.24493805370764696, 0.2929931737944286, 0.0, 0.22732936271919588, 0.30021090024864877, 0.2285100364720634], [0.20613730045687556, 0.20007260445424374, 0.025560512767239658, 0.22572732246820873, 0.1613676483272833, 0.21837793216173104], [0.24755479946704215, 0.2478039038350918, 0.24496617209801255, 0.24800143128707947, 0.24671788058211425, 0.2478697668434466], [0.22797516129610382, 0.27978577978486485, 1.0, 0.2895912311133746, 0.14285714285714285, 0.2699574657725781]]",original
Compas_Data,"[0.26463038404145445, 0.297499730421164, 0.0, 0.2613325262398026, 0.36722685990695086, 0.24989839271109357]",mode
Compas_Data,"[0.24996972087887126, 0.25275184042901006, 0.04155405306803115, 0.23365044429153364, 0.22264351892530443, 0.23919217104934612]",randomized
Compas_Data,"[0.24493805370764696, 0.2929931737944286, 0.0, 0.22732936271919588, 0.30021090024864877, 0.2285100364720634]",random_selection
Compas_Data,"[0.20470884921346677, 0.20700717157165824, 0.17221063163077066, 0.2155018587879072, 0.19856841587963345, 0.21643537978665026]",reconcile
Adult_Data,"[[0.07945979142554044, 0.13637451613299864, 0.02260972786293064, 0.07232533316622809, 0.1256022466600502], [0.07033861859825495, 0.12762273295996965, 0.0344359747417195, 0.07238775047567055, 0.13045084260596745], [0.06903738247502443, 0.11968899102462663, 0.03076856001009451, 0.06270863132624739, 0.1231989663905457], [0.06843293399012221, 0.11958831091595477, 0.031133919503341892, 0.06279619607850119, 0.12393145362154369], [0.11103448275862071, 0.14246909156065224, 0.05207547169811322, 0.08590831918505944, 0.18310344827586209], [0.10727969348659006, 0.15849409703557707, 0.05450733752620544, 0.093001320505565, 0.1939655172413793], [0.0888681269278565, 0.13092682390239768, 0.038022749585429866, 0.07676011042075838, 0.1473965450582112], [0.05355728522909569, 0.12016610088199271, 0.02438590527009083, 0.06246409499502641, 0.1309486190480992], [0.23590459870542474, 0.2381040879395951, 0.23255468617875508, 0.23362817687947002, 0.23912488214443794]]",original
Adult_Data,"[0.08079846743295017, 0.14065909514150646, 0.01518875995807128, 0.07206591838926098, 0.14284912434758387]",mode
Adult_Data,"[0.10265291657165489, 0.144516312137854, 0.056963345839890274, 0.09694298433641635, 0.16571754950538678]",randomized
Adult_Data,"[0.07945979142554044, 0.13637451613299864, 0.02260972786293064, 0.07232533316622809, 0.1256022466600502]",random_selection
Adult_Data,"[0.06852440684417883, 0.12168768426773995, 0.031500533493358907, 0.06421423778903197, 0.131925319202663]",reconcile
Folk_Income_Data,"[[0.14349600619709613, 0.12014158430232559, 0.1031196617440225, 0.10719999999999999, 0.10665370802322217, 0.14354513513513514, 0.12487692307692305, 0.17412444444444444], [0.149098299497757, 0.12931315702868537, 0.10721657960032295, 0.11719353554383562, 0.10919495952738001, 0.14774809458213153, 0.12234913635378539, 0.17830009810720426], [0.13973591753603407, 0.12100785992111546, 0.10176495851588833, 0.082018347930419, 0.10409540137753831, 0.13656677713674506, 0.11049408786456108, 0.16573683893892519], [0.1397923066734313, 0.12170808243362309, 0.10255385778610121, 0.08474635312763483, 0.10433087321573178, 0.13675403787078969, 0.10839571472857155, 0.16450182480068326], [0.17113607674829592, 0.1596279069767442, 0.12730560578661845, 0.25176470588235295, 0.13328178694158077, 0.185009009009009, 0.1876923076923077, 0.28622222222222227], [0.18943729136862186, 0.18372093023255814, 0.14024512758689978, 0.23529411764705882, 0.14557082856051928, 0.20440440440440444, 0.14529914529914534, 0.29876543209876544], [0.15381682617786913, 0.13871914175951883, 0.12003924860095726, 0.10736384616392365, 0.11287377835071544, 0.15302873006621784, 0.19180425026271547, 0.16616195422356292], [0.1515537875171989, 0.13371877610044772, 0.10673793267238331, 0.10638416338805076, 0.11286396448142415, 0.1585155006959867, 0.17149932094821632, 0.18691730873284962], [0.24270540187513145, 0.23946908369303632, 0.23922081274218518, 0.23951508034212576, 0.2390369608211869, 0.24275823399569096, 0.2415114850865727, 0.24405267903294087]]",original
Folk_Income_Data,"[0.1537005080595722, 0.1307061175710594, 0.11727314772955595, 0.1565058823529412, 0.11568250543814677, 0.16618965965965968, 0.15546923076923075, 0.22837555555555555]",mode
Folk_Income_Data,"[0.16353629114939733, 0.15425456960637596, 0.12839482514747616, 0.1459038626314578, 0.12727889234968712, 0.1679172258599194, 0.18480822770080593, 0.21974120489982216]",randomized
Folk_Income_Data,"[0.15381682617786913, 0.13871914175951883, 0.12003924860095726, 0.10736384616392365, 0.11287377835071544, 0.15302873006621784, 0.19180425026271547, 0.16616195422356292]",random_selection
Folk_Income_Data,"[0.14551383230952966, 0.1255849686837716, 0.11138086894108387, 0.09846006686715313, 0.11016053524617828, 0.14228208033584108, 0.1451050908362833, 0.16540569320063522]",reconcile
German_Data,"[[0.13297787610619471, 0.2227527272727273, 0.15297777777777777, 0.1469857142857143], [0.13378064649107282, 0.22604260649852218, 0.1575228137295404, 0.1434195170799512], [0.15094976910313068, 0.24460053391878947, 0.12695114343173533, 0.16816289584439897], [0.1477529635481306, 0.24538333266713608, 0.13961859386094683, 0.16536838948314106], [0.15504424778761064, 0.2210909090909091, 0.16222222222222227, 0.20285714285714287], [0.14749262536873156, 0.2565656565656566, 0.19135802469135804, 0.22222222222222224], [0.15343986314848015, 0.2485329134884779, 0.1924394616834292, 0.16800795097218169], [0.2420964529531156, 0.2473993932217455, 0.22706943070975372, 0.2439406163699104], [0.20315032781703754, 0.2642199303401166, 0.2117790531549397, 0.19253140223924917]]",original
German_Data,"[0.1423982300884956, 0.22731272727272728, 0.13496666666666665, 0.1542142857142857]",mode
German_Data,"[0.17124811820843788, 0.2761967494349367, 0.18498289859505745, 0.1809493204744756]",randomized
German_Data,"[0.1477529635481306, 0.24538333266713608, 0.13961859386094683, 0.16536838948314106]",random_selection
German_Data,"[0.1453331694526385, 0.22748628507295182, 0.15297777777777777, 0.15914797178130513]",reconcile
Folk_Travel_Data,"[[0.20742677919985505, 0.2168421106282526, 0.21152556657223798, 0.21014003831417624, 0.22813443298969074, 0.20045121951219513, 0.22457307692307696, 0.2388, 0.08410000000000002], [0.2085519881701175, 0.22082184494534174, 0.2051621046299283, 0.21036409059548902, 0.22717039495348706, 0.1880202644938958, 0.20574472287787696, 0.25037770000132265, 0.09894638436873159], [0.20395788169721907, 0.21669390535679797, 0.19352899995635, 0.20579294437632834, 0.22871846876201207, 0.18035154144877896, 0.20538104092024595, 0.25175637532084694, 0.047681749850351035], [0.20431633560575274, 0.21626193801830954, 0.19397420014852645, 0.2052236631961544, 0.22880826202720148, 0.18070144906998373, 0.20651170884067357, 0.25077357713330967, 0.05598745149539096], [0.20890659222563643, 0.2228735133835311, 0.19877555580474954, 0.20811410494043656, 0.23264592340869145, 0.20562879006984966, 0.24153030056666075, 0.22871748617666285, 0.007662053486621314], [0.24696495390754036, 0.24822538268324254, 0.24693824750316876, 0.2474308510113129, 0.2483767461078907, 0.24709867452388518, 0.24715008347782863, 0.24868691082268057, 0.24888160867030948]]",original
Folk_Travel_Data,"[0.20742677919985505, 0.2168421106282526, 0.21152556657223798, 0.21014003831417624, 0.22813443298969074, 0.20045121951219513, 0.22457307692307696, 0.2388, 0.08410000000000002]",mode
Folk_Travel_Data,"[0.2125875612674451, 0.22127411062986033, 0.20921817563251338, 0.2159517297890743, 0.23604026239018047, 0.20576872928099046, 0.219699250730315, 0.2312931021829791, 0.047681749850351035]",randomized
Folk_Travel_Data,"[0.20431633560575274, 0.21626193801830954, 0.19397420014852645, 0.2052236631961544, 0.22880826202720148, 0.18070144906998373, 0.20651170884067357, 0.25077357713330967, 0.05598745149539096]",random_selection
Folk_Travel_Data,"[0.20287270349161196, 0.2145448090187593, 0.1901250445269787, 0.20504057980194587, 0.22998215672825656, 0.1783656395407723, 0.20651170884067357, 0.24252603888943625, 0.05598745149539096]",reconcile
Folk_Mobility_Data,"[[0.16858721936343762, 0.16304898578300875, 0.16770076368674083, 0.18854674462333082, 0.18872779060665362, 0.19158333333333333, 0.19183908730158725, 0.16164814814814812], [0.16667802482428873, 0.1722656227692137, 0.16291048326832092, 0.19130080957469206, 0.1964536559221686, 0.2593393916521328, 0.15988125603632763, 0.13623373607380318], [0.1662658737010712, 0.17327590835357282, 0.16588133912605416, 0.1952293624796329, 0.20137546542713153, 0.2649688064416514, 0.1605378717023543, 0.13523105586143291], [0.16615736457363797, 0.1735881091469407, 0.16566660987697185, 0.19483203889935025, 0.20197720260429225, 0.26305562263470195, 0.158051309937611, 0.13200788419838813], [0.20308886301901435, 0.2021568627450981, 0.19829457364341088, 0.2321777777777778, 0.21168949771689502, 0.3333333333333333, 0.15714285714285717, 0.08], [0.1825229077937557, 0.18171250331382208, 0.1998483343197352, 0.22639911789802158, 0.228536672774169, 0.1755561089318773, 0.1697565883414614, 0.08415416827417695], [0.1812463907381706, 0.1873825576103454, 0.17706115477974613, 0.20235477049706713, 0.21363720738685055, 0.2530809503520462, 0.15070721886641694, 0.10095646811757335], [0.2462558555953533, 0.24626821187299935, 0.24626096377013598, 0.24704473977397123, 0.24715136982924563, 0.24872241170363263, 0.24567396964125168, 0.24748496678936696]]",original
Folk_Mobility_Data,"[0.16952551428943902, 0.16420673088104795, 0.16692169391929898, 0.18909174017888639, 0.18850561594911935, 0.19158333333333333, 0.19183908730158725, 0.16164814814814812]",mode
Folk_Mobility_Data,"[0.18659963164656143, 0.19385431052941623, 0.18319111858428258, 0.21408893499870582, 0.207789453079809, 0.19650857423140133, 0.19247568927537487, 0.06400991988769546]",randomized
Folk_Mobility_Data,"[0.2462558555953533, 0.24626821187299935, 0.24626096377013598, 0.24704473977397123, 0.24715136982924563, 0.24872241170363263, 0.24567396964125168, 0.24748496678936696]",random_selection
Folk_Mobility_Data,"[0.16615320155098076, 0.168451044294035, 0.1630165889002949, 0.19074152843331849, 0.19232559747675956, 0.23768828472692516, 0.16636705162565896, 0.13623373607380318]",reconcile
Compas_Data,"[[0.23781999159773248, 0.19085732572434502, 0.40016950419669056, 0.23002606242742557, 0.17573915458638267, 0.22056651761119375], [0.22203311595185923, 0.18692013404110405, 0.33019975085406045, 0.21435604787394133, 0.15731835942155714, 0.21076619951344636], [0.212764125091053, 0.19776921924708307, 0.41045437097981347, 0.2076985563348064, 0.1616838762804574, 0.20369122055413466], [0.21262311505642975, 0.19891893872794275, 0.4025364594205291, 0.20668674622231326, 0.162440605169012, 0.20370871573369823], [0.2610144632019787, 0.21271891156114078, 0.3541666666666667, 0.26622029097482963, 0.21180555555555558, 0.2359276297773382], [0.24326035847170677, 0.20227127185488264, 0.25620216269134927, 0.26337152972104905, 0.21797839506172842, 0.22353586112856724], [0.211097592924895, 0.2017850456213561, 0.32533502008960413, 0.2095482753707951, 0.1796096193422741, 0.2093515211624201], [0.24731844805212608, 0.24720945268969216, 0.25178899535380145, 0.24777324082195326, 0.24463086312310509, 0.24741427756304252], [0.23098819057831907, 0.34869622321211996, 0.6666666666666666, 0.2362080721069414, 0.25, 0.23249817601284398]]",original
Compas_Data,"[0.24664862918837427, 0.20837813664078036, 0.3807246281651549, 0.2644362469660993, 0.21501445061728397, 0.2290180552446122]",mode
Compas_Data,"[0.23861981431016982, 0.2146390887113325, 0.29138393036580346, 0.24096994727850501, 0.20602601091220557, 0.23202439191421217]",randomized
Compas_Data,"[0.212764125091053, 0.19776921924708307, 0.41045437097981347, 0.2076985563348064, 0.1616838762804574, 0.20369122055413466]",random_selection
Compas_Data,"[0.2302547983541157, 0.19543404475246445, 0.5153189300411523, 0.22265376148237428, 0.1629166666666667, 0.2143824787562962]",reconcile
Adult_Data,"[[0.06763178260869566, 0.1403502554364089, 0.057750787940379404, 0.08045574683859444, 0.12513967174334925], [0.0699265005429608, 0.12832445925639963, 0.06446291128129439, 0.07834054314051625, 0.12368723256880011], [0.0586876309803319, 0.12094109851562786, 0.06744815461482818, 0.07690057712645544, 0.1294773582511252], [0.05875402441270348, 0.12095174612197712, 0.06596784099500176, 0.07680790706023805, 0.1294353566688586], [0.0765217391304348, 0.14668573471576693, 0.10146341463414635, 0.09399046104928459, 0.1702463054187192], [0.0893719806763285, 0.16019147499304812, 0.11382113821138212, 0.09945239357004063, 0.1784345922276957], [0.11413043478260869, 0.22534437915735905, 0.11449864498644986, 0.15122107401519166, 0.231663929939792], [0.07382647048571578, 0.13409763485502343, 0.11028351998961741, 0.09839446193086927, 0.14399404345060018], [0.0493838136725726, 0.12211519082944966, 0.06322002152647796, 0.07592261393660314, 0.1323431026860209], [0.23570949401828137, 0.2384235060937958, 0.22938205403562312, 0.2325749038431503, 0.2395398584863114]]",original
Adult_Data,"[0.06636439130434782, 0.15463580608833952, 0.07595757181571815, 0.094754336989311, 0.14387054142859937]",mode
Adult_Data,"[0.08038876557571735, 0.1524672019915739, 0.11856079659937206, 0.10691264928939079, 0.14853482597560175]",randomized
Adult_Data,"[0.23570949401828137, 0.2384235060937958, 0.22938205403562312, 0.2325749038431503, 0.2395398584863114]",random_selection
Adult_Data,"[0.05790660225442835, 0.1307560569746245, 0.08350496838301717, 0.08063121945474888, 0.1407091163413003]",reconcile
Folk_Income_Data,"[[0.14634574012397608, 0.11595409004036089, 0.10222559922811295, 0.10472222222222223, 0.10397703353551095, 0.1460474725042301, 0.017800000000000003, 0.19706527777777777, 0.4096], [0.1498672697835435, 0.12617068445450869, 0.10472936359355026, 0.11409498726123041, 0.10848115195970714, 0.15011653627877317, 0.02615876899984353, 0.17458894064765065, 0.3254654511520862], [0.1395808578980244, 0.11433570121916743, 0.09582468958051589, 0.09035590909889285, 0.10286667518665298, 0.14277426736394766, 0.017211018397158426, 0.18087389142581783, 0.18033277733798986], [0.14010976575543874, 0.11629997274576839, 0.09702638632119956, 0.0898701463133361, 0.10305896264116599, 0.14289935878215448, 0.015206514881010958, 0.1803997566917672, 0.2063106138522904], [0.17341226854767605, 0.15042735042735045, 0.12994515539305304, 0.22666666666666668, 0.1383363148479428, 0.1886294416243655, 0.024000000000000004, 0.1677777777777778, 0.04000000000000001], [0.19106100684385105, 0.1680911680911681, 0.14462725980093438, 0.18518518518518523, 0.15364738620552576, 0.20248166948674567, 0.03333333333333333, 0.17901234567901236, 0.0], [0.15542214472707366, 0.15255373973111508, 0.11819380482778158, 0.11720432642713817, 0.1184598078084183, 0.16797887695026928, 0.014086651947489445, 0.2056254679046624, 0.6063709253877665], [0.15111627247504306, 0.1217091000398187, 0.10484806913342959, 0.1303441302065084, 0.11265169693376162, 0.1653195463502628, 0.011848847834425946, 0.1682032167180698, 5.828968227903523e-06], [0.24291427989291212, 0.23921443870460407, 0.23899271286515483, 0.239557166258159, 0.23935214256821094, 0.2425847390493517, 0.23544810198262445, 0.2421743440070883, 0.24882830815351498]]",original
Folk_Income_Data,"[0.15597031523992538, 0.1250678418803419, 0.1097848702010969, 0.1464388888888889, 0.1164114342759204, 0.16563260128783605, 0.012200000000000003, 0.19624861111111114, 0.4096]",mode
Folk_Income_Data,"[0.16667438844430216, 0.1429127163131051, 0.1234811646255049, 0.15786106951416165, 0.1343342908764981, 0.1823715507347722, 0.021793680705432972, 0.19141164962278912, 0.24882830815351498]",randomized
Folk_Income_Data,"[0.19106100684385105, 0.1680911680911681, 0.14462725980093438, 0.18518518518518523, 0.15364738620552576, 0.20248166948674567, 0.03333333333333333, 0.17901234567901236, 0.0]",random_selection
Folk_Income_Data,"[0.14411150454312904, 0.1195420491716788, 0.1016354074976866, 0.08573388203017834, 0.10539852911945934, 0.1460851037162374, 0.018469135802469134, 0.18310013717421125, 0.09679012345679013]",reconcile
German_Data,"[[0.16870714285714286, 0.145145945945946, 0.17061578947368422, 0.09416666666666668], [0.16577123327833893, 0.14930601626531403, 0.16984524257386652, 0.10162500232761859], [0.19961183095456334, 0.13192713083297494, 0.1925729933745623, 0.0717685954643642], [0.18811568613334664, 0.1317963928083095, 0.17995104349998373, 0.0751666704069121], [0.26000000000000006, 0.17765765765765765, 0.19087719298245615, 0.18444444444444447], [0.3492063492063492, 0.1881881881881882, 0.2378167641325536, 0.18518518518518523], [0.1550634722384809, 0.14482017691691426, 0.16882635553582653, 0.14902833591547368], [0.24356130033879034, 0.24102455393044853, 0.24388533591014497, 0.24110177649762024], [0.13353732813725408, 0.16157097204831938, 0.22057030028008023, 0.1722543434557916]]",original
German_Data,"[0.20495, 0.1537279279279279, 0.19617719298245614, 0.08675555555555554]",mode
German_Data,"[0.13626122750749106, 0.17012800724190613, 0.19993361821000577, 0.12366860966869586]",randomized
German_Data,"[0.26000000000000006, 0.17765765765765765, 0.19087719298245615, 0.18444444444444447]",random_selection
German_Data,"[0.19098964257799297, 0.13987719423234835, 0.16079302747927438, 0.16336068332861198]",reconcile
Folk_Travel_Data,"[[0.20678752234250072, 0.2178752106603958, 0.21937897596416475, 0.21506641604010027, 0.2518045454545455, 0.2183725108225108, 0.22483749999999997, 0.18862666666666666, 0.1444], [0.20832910778785144, 0.22002035586390573, 0.21981474428698214, 0.21533314143411317, 0.2372664840632799, 0.21994703948697156, 0.20740261213232233, 0.191643189832688, 0.13966261293608523], [0.20487088340656331, 0.218130457800283, 0.21563598634784573, 0.2099644922405711, 0.24542035916312052, 0.21706263102670736, 0.20465353928118962, 0.16748026686392273, 0.11038138630303612], [0.20548943909346598, 0.21869085573532848, 0.21613843978249125, 0.20998773905707857, 0.2450405321128029, 0.21747510076517454, 0.20913146328092413, 0.16777393416858005, 0.11040925895181744], [0.20869648183168535, 0.24209948247661578, 0.22654514270765463, 0.2239350498080343, 0.2779536257640692, 0.2228036885877675, 0.26818761561514615, 0.19616834463641047, 0.05586776859504132]]",original
Folk_Travel_Data,"[0.20678752234250072, 0.2178752106603958, 0.21937897596416475, 0.21506641604010027, 0.2518045454545455, 0.2183725108225108, 0.22483749999999997, 0.18862666666666666, 0.1444]",mode
Folk_Travel_Data,"[0.20675217076006755, 0.22081899202565491, 0.22085885687425003, 0.21332107733606592, 0.25853997971653614, 0.22002113109482044, 0.1964095274651266, 0.19691581950436246, 0.11038138630303612]",randomized
Folk_Travel_Data,"[0.20869648183168535, 0.24209948247661578, 0.22654514270765463, 0.2239350498080343, 0.2779536257640692, 0.2228036885877675, 0.26818761561514615, 0.19616834463641047, 0.05586776859504132]",random_selection
Folk_Travel_Data,"[0.20678752234250072, 0.2178752106603958, 0.21937897596416475, 0.21506641604010027, 0.2518045454545455, 0.2183725108225108, 0.22483749999999997, 0.18862666666666666, 0.1444]",reconcile
Folk_Mobility_Data,"[[0.17421490469130724, 0.1691085644072197, 0.1673616040766182, 0.18787554896662284, 0.17983598687997834, 0.14521481481481482, 0.13937232142857145, 0.1303592], [0.1721492813129243, 0.17622380326459847, 0.16680236985436572, 0.1902456143307631, 0.18749094882864561, 0.10858054035076799, 0.14087245275439209, 0.13585187336125965], [0.17235316432501105, 0.1778159371091665, 0.17158753580257927, 0.1904398404881735, 0.18984070079869877, 0.10841727988169486, 0.14602739626083228, 0.08058516464747455], [0.17264910191275765, 0.17758843981312836, 0.17032335006623026, 0.19025882435664004, 0.18883630187701103, 0.10593740723939232, 0.14622389952346, 0.09132265232520699], [0.20988416988416994, 0.21129411764705885, 0.20311688311688317, 0.2372052401746725, 0.2318139534883721, 0.09999999999999999, 0.16, 0.18400000000000002], [0.19142304167742466, 0.1867426945933228, 0.21850589626584743, 0.2270727719362439, 0.20796143144282864, 0.17810938329467463, 0.2248786546140121, 0.3399195524573667], [0.18569578785644, 0.19406057368355856, 0.18263135502847355, 0.19908792079236268, 0.21666562152560734, 0.09714273398572355, 0.11909283296791644, 0.1767700614444126], [0.24638369326988038, 0.24623252141559354, 0.2463365048109665, 0.24731889355594558, 0.24724073828014206, 0.24450286076602049, 0.2470258380693197, 0.24425233953064254]]",original
Folk_Mobility_Data,"[0.1761519663002615, 0.16972704411854866, 0.1708789200939342, 0.19369257953430846, 0.17869505664742022, 0.14521481481481482, 0.13937232142857145, 0.22137920000000003]",mode
Folk_Mobility_Data,"[0.19095774415498187, 0.19276642493905138, 0.18413236786293954, 0.20670802579537337, 0.214485661957254, 0.16444726155794268, 0.09223766078822151, 0.220764345229641]",randomized
Folk_Mobility_Data,"[0.18569578785644, 0.19406057368355856, 0.18263135502847355, 0.19908792079236268, 0.21666562152560734, 0.09714273398572355, 0.11909283296791644, 0.1767700614444126]",random_selection
Folk_Mobility_Data,"[0.18569578785644, 0.19406057368355856, 0.18263135502847355, 0.19908792079236268, 0.21666562152560734, 0.09714273398572355, 0.11909283296791644, 0.1767700614444126]",reconcile
